envelopeID,plantID,day,month,year,Num_Heads,Aborted_Heads,Dehisced_Heads,#full_seeds,#partial_full_seeds,#aborted_seeds,notes,date_processed,processed_by,
12ub_16aug,12UB,16,aug,2018,2,0,0,110,0,12,,,gp,
18ub_16aug,18UB,16,aug,2018,2,0,0,252,0,39,,,gp,
3ubc_16aug,3UBC,16,aug,2018,3,0,0,288,11,12,,,gp,
45ub_16aug,45UB,16,aug,2018,11,3,0,460,120,59,,,gp,
36ub_16aug,36UB,16,aug,2018,1,0,0,76,11,47,,,gp,
34ub_16aug,34UB,16,aug,2018,1,0,0,98,38,14,,,gp,
19ub_16aug,19UB,16,aug,2018,2,0,0,235,145,27,,,gp,
5ubc_16aug,5UBC,16,aug,2018,5,4,0,300,19,8,,10/8/2018,ed,
43ub_5sep,43UB,5,sept,2018,1,0,0,67,7,0,,10/8/2018,ed,
20ub_16aug,20UB,16,aug,2018,5,0,0,490,59,13,,,ed,
35ub_5sept,35UB,5,sept,2018,1,0,0,74,23,6,,10/10/2018,gp,
17ub_5sept,17UB,5,sept,2018,3,0,0,214,35,18,,10/10/2018,gp,
10ubc_22aug,10UBC,22,aug,2018,1,1,0,151,48,25,,10/12/2018,ed,
30ub_22aug,30UB,22,aug,2018,2,0,0,119,44,26,,10/12/2018,ed,
37ub_22aug,37UB,22,aug,2018,1,0,0,90,12,19,"GLP went through and checked seeds, made changes to original seed count",10/12/2018,ed,
11ubc_22aug,11UBC,22,aug,2018,2,0,0,370,10,27,,10/12/2018,ed,
10ubc_5sept,10UBC,5,sept,2018,3,0,0,181,52,31,"GLP went through and checked seeds, made changes to original seed count; 1 small",10/19/2018,ed,
12ubc_5sept,12UBC,5,sept,2018,1,0,0,108,31,6,"GLP went through and checked seeds, made changes to original seed count",10/19/2018,ed,
7ubc_22aug,7UBC,22,aug,2018,1,0,0,68,16,32,,10/22/2018,ed,
41ub_22aug,41UB,22,aug,2018,1,0,0,70,57,37,,10/22/2018,ed,
8ubc_22aug,8UBC,22,aug,2018,1,0,0,75,44,71,,4/9/2019,ak,
22b_16aug,22B,16,aug,2018,1,0,0,117,11,22,,10/24/2018,ak,
6bc_16aug,6BC,16,aug,2018,2,0,0,85,67,106,,,,
5bc_16aug,5BC,16,aug,2018,2,2,0,121,58,28,"GLP went through and checked seeds, made changes to original seed count; 1 small",,ak,
35b_5sept,35B,5,sept,2018,1,0,0,100,15,39,,10/26/2018,ed,
36b_5sept,36B,5,sept,2018,3,0,0,199,5,29,,10/26/2018,ed,
43b_5sept,43B,5,sept,2018,3,1,0,156,3,28,,10/26/2018,ed,
11bc_5sept,11BC,5,sept,2018,3,0,0,233,37,118,,10/26/2018,ak,
10bc_5sept,10BC,5,sept,2018,2,0,0,150,5,46,,10/26/2018,ed,
44b_5sept,44B,5,sept,2018,1,0,0,53,5,0,,10/26/2018,ed,
45b_5sept,45B,5,sept,2018,1,0,0,68,2,7,,10/26/2018,ed,
20b_5sept,20B,5,sept,2018,3,0,0,191,59,133,,10/29/2018,ed,
15b_5sept,15B,5,sept,2018,2,0,0,110,8,35,,10/29/2018,ed,
19b_5sept,19B,5,sept,2018,2,0,0,84,4,35,,10/31/2018,ed,
12b_5sept,12B,5,sept,2018,5,0,0,417,81,93,,10/31/18 and 11/02/18,ed,
14b_5sept,14B,5,sept,2018,3,0,0,102,97,197,,11/2/2018,ed,
7bc_5sept,7BC,5,sept,2018,4,0,0,130,59,236,,11/2/2018,ed,
13b_5sept,13B,5,sept,2018,2,0,0,72,51,71,,11/2/2018,ed,
16b_5sept,16B,5,sept,2018,7,0,0,407,93,258,,11/05/18 and 11/07/18,ed,
9bc_5sept,9BC,5,sept,2018,2,0,0,339,26,50,,11/5/2018,ak,
17b_5sept,17B,5,sept,2018,1,0,0,130,29,26,,11/5/2018,ak,
43ub_22aug,43UB,22,aug,2018,1,0,0,37,30,29,,11/7/2018,gp,
38ub_5sept,38UB,5,sept,2018,1,0,0,49,37,20,glp checked,11/7/2018,gm,
39ub_5sept,39UB,5,sept,2018,1,0,0,57,30,32,glp checked,11/7/2018,gm,
22ub_5sept,22UB,5,sept,2018,1,0,0,56,22,15,,11/7/2018,gm,
14ubc_5sept,14UBC,5,sept,2018,1,0,0,21,3,2,,11/7/2018,ak,
32ub_5sept,32UB,5,sept,2018,1,0,0,56,34,36,,11/7/2018,ed,
5ub_5sept,5UB,5,sept,2018,1,0,0,70,55,22,,11/7/2018,ed,
33ub_5sept,33UB,5,sept,2018,1,0,0,51,51,29,,11/7/2018,ed,
1ub_5sept,1UB,5,sept,2018,9,0,0,359,73,114,,11/7/2018,ak,
47ub_5sept,47UB,5,sept,2018,1,0,0,34,14,13,,11/9/2018,ed,
48ub_5sept,48UB,5,sept,2018,1,0,0,30,7,59,,11/9/2018,ed,
16ubc_5sept,16UBC,5,sept,2018,1,0,0,79,27,12,,11/9/2018,ak,
18ubc_5aug,18UBC,5,aug,2018,3,0,0,215,33,101,,11/9/2018,ed,
21ub_5sept,21UB,5,sept,2018,1,0,0,32,6,3,"no head, just loose seeds in bag",11/9/2018,ak,
26ub_sept,26UB,5,sept,2018,1,0,0,69,10,12,,11/9/2018,ak,
31ub_5sept,31UB,5,sept,2018,3,1,0,129,38,64,1 small head,11/9/2018,ed,
28ub_5sept,28UB,5,sept,2018,6,0,0,312,77,202,check ID,11/09/18 and 11/14/18,ed,
23ub_16aug,23UB,16,aug,2018,7,0,0,501,333,209,,11/12/2018,gm,
38ub_16aug,38UB,16,aug,2018,2,0,0,73,4,2,,11/12/2018,gm,
8bc_5sept,8BC,5,sept,2018,0,1,0,0,0,34,,11/12/2018,gm,
25b_5sept,25B,5,sept,2018,2,0,1,211,33,28,,11/12/2018,ak,
1bc_5sept,1BC,5,sept,2018,1,0,0,89,5,19,,11/12/2018,ak,
42ub_22aug,42UB,22,aug,2018,2,0,0,83,34,22,,11/14/2018,gm,
21ub_22aug,21UB,22,aug,2018,4,0,0,114,132,85,,11/14/2018,gm,
9ubc_22aug,9UBC,22,aug,2018,2,2,0,167,94,59,,11/14/2018,gm,
28ub_16aug,28UB,16,aug,2018,2,2,0,310,78,31,,11/14/2018,gm,
16b_22aug,16B,22,aug,2018,2,0,0,102,50,58,,11/14/2018,ak,
14b_22aug,14B,22,aug,2018,1,0,0,105,16,32,,11/14/2018,ak,
7bc_22aug,7BC,22,aug,2018,3,0,0,173,74,129,,11/14/18 and 11/16/18,ed,
34b_22aug,34B,22,aug,2018,1,0,0,63,7,5,,11/14/2018,,
20b_22aug **CHECK ,20B,22,aug,2018,5,0,0,162,12,85,checkID,11/16/2018,ed,
29ub_16aug,29UB,16,aug,2018,12,0,0,849,441,212,,11/19/2018,gm,
36ub_5sept,36UB,5,sept,2018,4,0,0,114,4,16,,11/19/2018,ed,
45ub_5sept,45UB,5,sept,2018,8,0,1,116,141,99,,11/19/2018,ak,
13ub_5sept,13UB,5,sept,2018,1,0,0,76,17,32,,11/19/2018,ed,
6ubc_5sept,6UBC,5,sept,2018,7,0,0,405,210,365,,11/19/18 and 11/26/18,ed,
4ubc_5sept,4UBC,5,sept,2018,2,0,0,149,22,28,,11/19/2018,ak,
14ub_5sept,14UB,5,sept,2018,5,0,0,249,73,223,,11/21/2018,ak,
12ub_5sept,12UB,5,sept,2018,2,0,0,56,4,10,,11/21/2018,ak,
44ub_5sept,44UB,5,sept,2018,2,0,0,80,6,12,,11/21/2018,ak,
19ub_5sept,19UB,5,sept,2018,10,1,0,577,194,157,,11/23/2018,ak,
15ub_5sept,15UB,5,sept,2018,6,1,0,461,175,127,,11/26/2018,gm,
11ub_5 sept,11UB,5,sept,2018,3,0,0,147,20,6,,11/26/2018,gm,
32b_16aug,32B,16,aug,2018,1,0,1,89,1,2,had to collect early b/c head broke off stalk,11/26/2018,gm,
9b_16aug,9B,16,aug,2018,2,1,9,61,17,4,fully dehisced and no seeds could be collected,11/26/2018,gm,
8b_16aug,8B,16,aug,2018,2,0,2,17,3,4,,11/26/2018,gm,
17bc_16aug,17BC,16,aug,2018,2,0,0,141,25,2,,11/26/2018,gm,
5b_16aug,5B,16,aug,2018,2,0,0,202,58,6,,11/26/2018,gm,
1b_16aug,1B,16,aug,2018,2,0,0,174,74,20,,11/26/2018,ak,
12b_22aug,12B,22,aug,2018,9,0,0,661,51,67,,11/26/2018,ak,
9ubc_5sept,9UBC,5,sept,2018,5,0,0,191,36,80,,11/26/2018,ed,
24ub_ NO DATE*****,24UB,NO ,DATE,2018,5,0,0,243,53,101,,11/26/18 and 11/28/18,ed,
30b_5sept,30B,5,sept,2018,4,1,0,138,0,41,,11/26/2018,ak,
19b_16aug,19B,16,aug,2018,1,0,0,160,26,14,,11/28/2018,gm,
12bc_16aug,12BC,16,aug,2018,1,0,0,117,12,10,collected a little early b/c head broke off stem,11/28/2018,gm,
18b_16aug,18B,16,aug,2018,1,0,0,26,16,30,,11/28/2018,gm,
7bc_16aug,7BC,16,aug,2018,1,0,0,87,59,26,,11/28/2018,gm,
16b_16aug,16B,16,aug,2018,1,0,0,209,51,22,,11/28/2018,gm,
11b_16aug,11B,16,aug,2018,2,1,0,247,93,48,,11/28/2018,gm,
8bc_16aug,8BC,16,aug,2018,2,2,0,161,59,37,,11/28/2018,gm,
40b_5sept,40B,5,sept,2018,6,0,0,232,29,49,,11/28/2018,ak,
20b_16aug,20B,16,aug,2018,6,3,0,608,170,307,,11/28/18 and 11/30/18,ed,
23b_5sept,23B,5,sept,2018,7,0,0,596,62,58,,11/28/2018,ak,
23ub_5sept,23UB,5,sept,2018,1,0,0,72,12,5,,11/30/2018,gm,
12b_16aug? NO DATE,12B,16,aug,2018,3,8,0,419,91,103,,11/30/2018,ed,
8ubc_5sept,8UBC,5,sept,2018,2,1,0,60,43,91,bag fell off,11/30/2018,ed,
41b_ NO DATE*****,41B,NO,DATE,2018,13,1,0,866,94,218,,11/30/2018,ak,
41ub_5sept,41UB,5,sept,2018,3,1,0,232,45,51,,11/30/2018,ed,
40ub_5sept,40UB,5,sept,2018,2,0,0,86,17,78,,11/30/2018,ed,
25ub_5sept,25UB,5,sept,2018,8,6,0,581,135,91,,12/3/2018,gm,
27ub_5sept,27UB,5,sept,2018,6,0,0,732,134,79,,12/3/2018,gm,
6bc_5sept,6BC,5,sept,2018,2,0,0,124,2,49,,12/3/2018,ed,
38b_5sept,38B,5,sept,2018,2,0,0,157,21,58,,12/3/2018,ed,
28b_5sept,28B,5,sept,2018,1,0,0,61,3,8,,12/3/2018,ed,
4bc_5sept,4BC,5,sept,2018,3,0,0,201,30,95,,12/3/2018,ed,
39b_5sept,39B,5,sept,2018,1,0,0,88,0,2,bag fell off,12/3/2018,ed,
ub16_21aug,16UB,21,aug,2018,1,0,0,20,24,19,,12/5/2018,gm,
2ubc_21aug,2UBC,21,aug,2018,1,0,0,140,54,0,,12/5/2018,gm,
21b_22aug,21B,22,aug,2018,1,0,0,54,20,21,,12/5/2018,gm,
30b_22aug,30B,22,aug,2018,1,0,0,82,35,6,,12/5/2018,gm,
3bc_22aug,3BC,22,aug,2018,1,0,0,98,19,19,,12/5/2018,gm,
22b_22aug,22B,22,aug,2018,1,0,0,116,14,2,,12/5/2018,gm,
25b_22aug,25B,22,aug,2018,1,0,0,161,27,5,,12/5/2018,gm,
1bc_22aug,1BC,22,aug,2018,4,0,0,237,80,139,,12/5/2018,gm,
37b_22aug,37B,22,aug,2018,2,0,0,84,38,12,,12/5/2018,gm,
24b_22aug,24B,22,aug,2018,2,0,0,92,57,68,,12/5/2018,gm,
26b_5sept,26B,5,sept,2018,2,0,0,197,64,37,,12/10/2018,gm,
42b_5sept,42B,5,sept,2018,1,0,0,97,4,2,,12/17/2018,gm,
2bc_5sept,2BC,5,sept,2018,2,0,0,195,31,19,,12/17/2018,gm,
3bc_5sept,3BC,5,sept,2018,2,0,0,97,12,53,,12/17/2018,gm,
27b_5sept,27B,5,sept,2018,3,0,0,318,22,10,,12/17/2018,gm,
29b_5sept,29B,5,sept,2018,3,0,0,134,44,42,,12/17/2018,gm,
6b_22aug,6B,22,aug,2018,1,0,0,159,58,11,,12/17/2018,gm,
17bc_22aug,17BC,22,aug,2018,1,0,0,74,4,2,,12/17/2018,gm,
5b_22aug,5B,22,aug,2018,1,0,0,97,33,8,,12/17/2018,gm,
5bc_5sept,5BC,5,sept,2018,17,2,0,1166,354,228,,12/18/18 & 12/19/18,gm,
16bc_22aug,16BC,22,aug,2018,1,0,0,76,91,63,,12/19/2018,gm,
1b_22aug,1B,22,aug,2018,2,0,0,165,52,21,,12/19/2018,gm,
10b_22aug,10B,22,aug,2018,6,2,0,760,202,85,,12/20/2018,gm,
31b_5sept,31B,5,sept,2018,1,0,0,116,8,24,,12/20/2018,gm,
17bc_5sept,17BC,5,sept,2018,2,0,0,70,11,0,,12/20/2018,gm,
48b_5sept,48B,5,sept,2018,1,0,0,100,8,0,,12/20/2018,gm,
47b_5sept,47B,5,sept,2018,1,0,0,72,17,0,,12/20/2018,gm,
15bc_5sept,15BC,5,sept,2018,2,0,0,235,39,12,,12/20/2018,gm,
7b_5setp,7B,5,sept,2018,2,0,0,93,35,14,,12/20/2018,gm,
9ub_22aug,9UB,22,aug,2018,1,0,0,50,23,18,,1/9/2019,ak,
1ub_22aug,1UB,22,aug,2018,5,0,0,221,76,84,,1/9/2019,ak,
noID_21aug,NO PLANTID,21,aug,2018,1,1,0,54,43,79,,4/9/2019,ak,
15ubc_22aug,15UBC,22,aug,2018,1,0,0,65,25,16,,4/9/2019,ak,
4ub_22aug,4UB,22,aug,2018,3,0,0,96,29,15,,4/10/2019,ak,
18ubc_NO DATE**,18UBC,no,date,2018,6,2,0,614,130,83,,4/10/2019,ak,
16ubc_22aug,16UBC,22,aug,2018,1,0,0,114,28,5,,4/11/2019,ak,
33ub_NO DATE**,33UB,no,date,2018,1,0,0,3,0,57,,4/11/2019,ak,
13ubc_22aug,13UBC,22,aug,2018,2,0,0,17,0,86,,4/11/2019,ak,
10ub_22aug,10UB,22,aug,2018,2,0,0,53,61,9,,4/11/2019,ak,
17ubc_22aug,17UBC,22,aug,2018,1,0,0,104,76,18,,4/15/2019,ak,
46b_5sept,46B,5,sept,2018,4,0,0,135,28,20,,4/15/2019,ak,
13bc_5sept,13BC,5,sept,2018,3,0,0,277,21,211,,4/15/2019,ak,
2b_5sept,2B,5,sept,2018,3,0,0,240,9,21,,4/15/2019,ak,
33b_5sept,33B,5,sept,2018,2,0,0,135,11,69,,4/15/2019,ak,
6b_5sept,6B,5,sept,2018,15,0,0,1340,193,149,,4/22/2019,ak,
3b_5sept,3B,5,sept,2018,5,0,0,402,25,26,,4/22/2019,ak,
5b_5sep,5B,5,sept,2018,2,0,0,191,97,16,,4/22/2019,ak,
18bc_5sept,18BC,5,sept,2018,5,1,0,285,128,66,,4/22/2019,ak,
10b_5sept,10B,5,sept,2018,5,0,0,319,15,2,,4/23/2019,ak,
14bc_5sept,14BC,5,sept,2018,7,1,0,337,58,85,,4/23/2019,ak,
4b_5sept,4B,5,sept,2018,6,0,0,362,163,85,,4/23/2019,ak,
18ubc_16aug,18UBC,16,aug,2018,1,1,0,10,0,14,,4/23/2019,ak,"**no actual flower head in bag, just a few loose seeds"
16ubc_16aug,16UBC,16,aug,2018,1,1,0,125,30,3,,4/23/2019,ak,
3ub_16aug,3UB,16,aug,2018,2,0,0,119,10,0,,4/25/2019,ak,
2ub_16aug,2UB,16,aug,2018,8,1,0,502,240,59,,4/25/2019,ak,
6ub_16aug,6UB,16,aug,2018,3,0,0,121,35,41,,4/25/2019,ak,
46ub_16aug,46UB,16,aug,2018,1,2,0,92,20,52,,5/2/2019,ak,
15ubc_16aug,15UBC,16,aug,2018,5,1,0,113,212,126,,5/2/2019,ak,
7ub_16aug,7UB,16,aug,2018,3,0,0,113,203,8,,5/2/2019,ak,
10ub_16aug,10UB,16,aug,2018,3,0,1,138,202,7,,5/2/2019,ak,
9ub_16aug,9UB,16,aug,2018,1,0,0,114,47,20,,5/6/2019,ak,
13ubc_16aug,13UBC,16,aug,2018,5,1,0,268,300,73,,5/6/2019,ak,
1ub_16aug,1UB,16,aug,2018,3,4,0,336,185,65,,5/6/2019,ak,
4ub_16aug,4UB,16,aug,2018,2,1,0,80,95,15,,5/6/2019,ak,
14ubc_16aug,14UBC,16,aug,2018,2,0,0,169,118,42,,5/6/2019,ak,
